Location,Feature Combination,Metric,Value
New Delhi,Wind Direction,Mean Squared Error (Non-zero),34937.66722348174
New Delhi,Wind Direction,Root Mean Squared Error (Non-zero),186.91620374778034
New Delhi,Wind Direction,R² Score (Non-zero),0.5112939323615722
New Delhi,Wind Direction,Mean Absolute Percentage Error (Non-zero),174.22271144631034
New Delhi,Wind Direction,Mean Squared Percentage Error (Non-zero),1927.6301225348466
Shimla,Wind Direction,Mean Absolute Error (All),68.30638297241028
Shimla,Wind Direction,Mean Squared Error (All),15295.005288636115
Shimla,Wind Direction,Root Mean Squared Error (All),123.67297719646
Shimla,Wind Direction,R² Score (All),0.8026382721893456
Shimla,Wind Direction,Mean Absolute Percentage Error (All),3421841368073.473
Shimla,Wind Direction,Mean Squared Percentage Error (All),2.953664905475908e+23
Shimla,Wind Direction,Non-zero Values Percentage,49.90867579908676
Shimla,Wind Direction,Mean Absolute Error (Non-zero),130.0065380728583
Shimla,Wind Direction,Mean Squared Error (Non-zero),30586.803587084327
Shimla,Wind Direction,Root Mean Squared Error (Non-zero),174.89083334207177
Shimla,Wind Direction,R² Score (Non-zero),0.6574007304884331
Shimla,Wind Direction,Mean Absolute Percentage Error (Non-zero),124.88660270996812
Shimla,Wind Direction,Mean Squared Percentage Error (Non-zero),850.6085248594386
Srinagar,Wind Direction,Mean Absolute Error (All),35.90744190796828
Srinagar,Wind Direction,Mean Squared Error (All),6081.142722950804
Srinagar,Wind Direction,Root Mean Squared Error (All),77.98168197051668
Srinagar,Wind Direction,R² Score (All),0.937838888267478
Srinagar,Wind Direction,Mean Absolute Percentage Error (All),2950218435362.2793
Srinagar,Wind Direction,Mean Squared Percentage Error (All),2.1762316628785524e+23
Srinagar,Wind Direction,Non-zero Values Percentage,49.41620879120879
Srinagar,Wind Direction,Mean Absolute Error (Non-zero),66.69314437269308
Srinagar,Wind Direction,Mean Squared Error (Non-zero),12261.928938992161
Srinagar,Wind Direction,Root Mean Squared Error (Non-zero),110.73359444627525
Srinagar,Wind Direction,R² Score (Non-zero),0.8592079626892611
Srinagar,Wind Direction,Mean Absolute Percentage Error (Non-zero),53.290358660738704
Srinagar,Wind Direction,Mean Squared Percentage Error (Non-zero),325.169079614958
New Delhi,Wind Speed,Mean Absolute Error (All),65.81086155155398
New Delhi,Wind Speed,Mean Squared Error (All),17139.25598074236
New Delhi,Wind Speed,Root Mean Squared Error (All),130.91698125431384
New Delhi,Wind Speed,R² Score (All),0.7313121914640104
New Delhi,Wind Speed,Mean Absolute Percentage Error (All),1521693499019.3704
New Delhi,Wind Speed,Mean Squared Percentage Error (All),2.035248048868022e+23
New Delhi,Wind Speed,Non-zero Values Percentage,49.06648451730419
New Delhi,Wind Speed,Mean Absolute Error (Non-zero),131.02460607287503
New Delhi,Wind Speed,Mean Squared Error (Non-zero),34889.19915225715
New Delhi,Wind Speed,Root Mean Squared Error (Non-zero),186.78650687953117
New Delhi,Wind Speed,R² Score (Non-zero),0.5119719009375128
New Delhi,Wind Speed,Mean Absolute Percentage Error (Non-zero),145.53538601354444
New Delhi,Wind Speed,Mean Squared Percentage Error (Non-zero),1211.3637074336752
Shimla,Wind Speed,Mean Absolute Error (All),65.1067255041949
Shimla,Wind Speed,Mean Squared Error (All),15054.962287632055
Shimla,Wind Speed,Root Mean Squared Error (All),122.69866457151053
Shimla,Wind Speed,R² Score (All),0.8057357082825658
Shimla,Wind Speed,Mean Absolute Percentage Error (All),1546036136959.5964
Shimla,Wind Speed,Mean Squared Percentage Error (All),1.2008404056446387e+23
Shimla,Wind Speed,Non-zero Values Percentage,49.90867579908676
Shimla,Wind Speed,Mean Absolute Error (Non-zero),127.35398875971725
Shimla,Wind Speed,Mean Squared Error (Non-zero),30140.95974842689
Shimla,Wind Speed,Root Mean Squared Error (Non-zero),173.61151963054436
Shimla,Wind Speed,R² Score (Non-zero),0.6623945760534129
Shimla,Wind Speed,Mean Absolute Percentage Error (Non-zero),114.95854184538831
Shimla,Wind Speed,Mean Squared Percentage Error (Non-zero),696.6828530284823
Srinagar,Wind Speed,Mean Absolute Error (All),32.326790118073646
Srinagar,Wind Speed,Mean Squared Error (All),6061.438853280997
Srinagar,Wind Speed,Root Mean Squared Error (All),77.85524294022206
Srinagar,Wind Speed,R² Score (All),0.9380403001566424
Srinagar,Wind Speed,Mean Absolute Percentage Error (All),738745823276.1489
Srinagar,Wind Speed,Mean Squared Percentage Error (All),4.26470167782719e+22
Srinagar,Wind Speed,Non-zero Values Percentage,49.41620879120879
Srinagar,Wind Speed,Mean Absolute Error (Non-zero),63.92243570988173
Srinagar,Wind Speed,Mean Squared Error (Non-zero),12257.46430122893
Srinagar,Wind Speed,Root Mean Squared Error (Non-zero),110.71343324650776
Srinagar,Wind Speed,R² Score (Non-zero),0.8592592258673196
Srinagar,Wind Speed,Mean Absolute Percentage Error (Non-zero),48.30242983692092
Srinagar,Wind Speed,Mean Squared Percentage Error (Non-zero),277.8541108203019
New Delhi,all,Mean Absolute Error (All),65.68318508452785
New Delhi,all,Mean Squared Error (All),15888.473051858195
New Delhi,all,Root Mean Squared Error (All),126.04948651961338
New Delhi,all,R² Score (All),0.7509204010907131
New Delhi,all,Mean Absolute Percentage Error (All),1670820748663.05
New Delhi,all,Mean Squared Percentage Error (All),2.23921680450232e+23
New Delhi,all,Non-zero Values Percentage,49.06648451730419
New Delhi,all,Mean Absolute Error (Non-zero),130.4604659691211
New Delhi,all,Mean Squared Error (Non-zero),32335.882710769114
New Delhi,all,Root Mean Squared Error (Non-zero),179.82180821793867
New Delhi,all,R² Score (Non-zero),0.5476875435868735
New Delhi,all,Mean Absolute Percentage Error (Non-zero),156.73293753314258
New Delhi,all,Mean Squared Percentage Error (Non-zero),1728.0023856323667
Shimla,all,Mean Absolute Error (All),65.9617804690311
Shimla,all,Mean Squared Error (All),14853.613035942639
Shimla,all,Root Mean Squared Error (All),121.87539963398126
Shimla,all,R² Score (All),0.8083338529354697
Shimla,all,Mean Absolute Percentage Error (All),1544148588429.1592
Shimla,all,Mean Squared Percentage Error (All),1.0516899842318152e+23
Shimla,all,Non-zero Values Percentage,49.90867579908676
Shimla,all,Mean Absolute Error (Non-zero),129.07100989812028
Shimla,all,Mean Squared Error (Non-zero),29740.512843604483
Shimla,all,Root Mean Squared Error (Non-zero),172.45437902124863
Shimla,all,R² Score (Non-zero),0.6668799357831316
Shimla,all,Mean Absolute Percentage Error (Non-zero),116.4130266623652
Shimla,all,Mean Squared Percentage Error (Non-zero),752.7470063703497
Srinagar,all,Mean Absolute Error (All),36.21443092567853
Srinagar,all,Mean Squared Error (All),6165.535999413206
Srinagar,all,Root Mean Squared Error (All),78.52092714310756
Srinagar,all,R² Score (All),0.9369762247638155
Srinagar,all,Mean Absolute Percentage Error (All),1096766839191.6744
Srinagar,all,Mean Squared Percentage Error (All),1.0577463458977604e+23
Srinagar,all,Non-zero Values Percentage,49.41620879120879
Srinagar,all,Mean Absolute Error (Non-zero),71.06507145234603
Srinagar,all,Mean Squared Error (Non-zero),12455.343472341012
Srinagar,all,Root Mean Squared Error (Non-zero),111.60351012553777
Srinagar,all,R² Score (Non-zero),0.856987168038503
Srinagar,all,Mean Absolute Percentage Error (Non-zero),52.967727775963716
Srinagar,all,Mean Squared Percentage Error (Non-zero),323.7651212446018
New Delhi,meteorological_only,Mean Absolute Error (All),90.6698953456946
New Delhi,meteorological_only,Mean Squared Error (All),23718.07487307961
New Delhi,meteorological_only,Root Mean Squared Error (All),154.0067364535708
New Delhi,meteorological_only,R² Score (All),0.628177701091535
New Delhi,meteorological_only,Mean Absolute Percentage Error (All),7109008566650.087
New Delhi,meteorological_only,Mean Squared Percentage Error (All),3.322741317285789e+24
