Metric,Feature Combination,Jaisalmer,Jodhpur,New Delhi,Shimla,Srinagar
Mean Squared Error (All),Relative Humidity,6822.678146763588,11967.39049067377,17028.8563689049,14423.569983594965,6597.221926614927
Mean Squared Error (All),Temperature,6212.285326845057,12085.847454141545,16756.16366047525,13537.034632680037,6361.032929071547
Mean Squared Error (All),Wind Direction,6335.147290362707,12142.743188951765,17221.16889188847,14107.963417089477,6255.033110148001
Mean Squared Error (All),Wind Speed,6320.583112605092,12163.38453007018,17004.48890527768,14148.706310259884,6453.437242280751
Mean Squared Error (All),all,6374.989102457471,11270.755303123982,16154.121705680533,13085.391113671458,6561.793115387328
Mean Squared Error (All),ghi_only,6520.865757263481,12454.808996837692,17136.763743530486,14650.598084964538,6459.966131851416
Mean Squared Error (Non-zero),Precipitable Water,12446.068103826075,22758.972212060253,33268.8442779171,27454.367976095145,12847.579798919145
Mean Squared Error (Non-zero),Pressure,12938.295629114236,24550.86947187588,34666.14448502759,29079.19495189453,13283.942331969449
Mean Squared Error (Non-zero),Relative Humidity,13559.623764789349,24179.57694506985,34520.485314683225,29434.589222759474,13202.76488765772
Mean Squared Error (Non-zero),Temperature,12733.11269413704,24609.20053625944,34004.94686076825,27599.487656965757,13080.964702782037
Mean Squared Error (Non-zero),Wind Direction,13029.934745702689,24682.014493769384,34973.318410691376,28777.421506997613,12884.24157226981
Mean Squared Error (Non-zero),Wind Speed,13027.584289378605,24734.75081190783,34509.62547314659,28826.15099183342,13304.906876793668
Mean Squared Error (Non-zero),all,12959.471974640715,22965.88893627776,32819.65191876438,26678.01057339492,13354.451357683734
Mean Squared Error (Non-zero),ghi_only,13433.92484148061,25279.246330684164,34760.31442339295,29911.84378661814,13310.742538519784
Non-zero Values Percentage,Precipitable Water,48.46611721611722,48.99267399267399,49.107142857142854,48.946886446886445,48.46611721611722
Non-zero Values Percentage,Pressure,48.46611721611722,48.99267399267399,49.107142857142854,48.946886446886445,48.46611721611722
Non-zero Values Percentage,Relative Humidity,48.46611721611722,48.99267399267399,49.107142857142854,48.946886446886445,48.46611721611722
Non-zero Values Percentage,Temperature,48.46611721611722,48.99267399267399,49.107142857142854,48.946886446886445,48.46611721611722
Non-zero Values Percentage,Wind Direction,48.46611721611722,48.99267399267399,49.107142857142854,48.946886446886445,48.46611721611722
Non-zero Values Percentage,Wind Speed,48.46611721611722,48.99267399267399,49.107142857142854,48.946886446886445,48.46611721611722
Non-zero Values Percentage,all,48.46611721611722,48.99267399267399,49.107142857142854,48.946886446886445,48.46611721611722
Non-zero Values Percentage,ghi_only,48.46611721611722,48.99267399267399,49.107142857142854,48.946886446886445,48.46611721611722
Root Mean Squared Error (All),Precipitable Water,78.10522877854369,105.80430389089955,128.1492911660703,116.00706306464038,79.4709609089479
Root Mean Squared Error (All),Pressure,79.22647279508554,109.89380916155089,130.7279849777757,119.33948219690538,80.27666539051683
Root Mean Squared Error (All),Relative Humidity,82.59950451887461,109.39556888043396,130.4946603080176,120.09816811090403,81.22328438702124
Root Mean Squared Error (All),Temperature,78.81805203660554,109.93565142455628,129.44560116309572,116.34876291856324,79.75608396273947
Root Mean Squared Error (All),Wind Direction,79.5936385043598,110.19411594523442,131.22945131291402,118.77694817214945,79.08876728175753
Root Mean Squared Error (All),Wind Speed,79.5020950202263,110.28773517517793,130.40126113377002,118.94833462583613,80.33328850657584
Root Mean Squared Error (All),all,79.84352887026894,106.1638135294884,127.09886587094526,114.39139440391247,81.00489562605046
Root Mean Squared Error (All),ghi_only,80.75187773212139,111.60111557165408,130.90746252040213,121.03965501010212,80.37391449874403
Root Mean Squared Error (Non-zero),Precipitable Water,111.56194738272578,150.86077095143142,182.39748977964885,165.69359666593982,113.34716493551635
Root Mean Squared Error (Non-zero),Pressure,113.74662908901624,156.68717073160738,186.18846496232678,170.5262295129243,115.25598610037332
Root Mean Squared Error (Non-zero),Relative Humidity,116.44579754026913,155.49783582117743,185.79689264000953,171.565116567324,114.90328492979529
Root Mean Squared Error (Non-zero),Temperature,112.84109488186049,156.87319891000962,184.40430271761082,166.13093527987422,114.372045110604
Root Mean Squared Error (Non-zero),Wind Direction,114.14873957123963,157.1051065171638,187.01154619619447,169.6390919186896,113.50877310705904
Root Mean Squared Error (Non-zero),Wind Speed,114.13844352092158,157.27285465682826,185.7676653057431,169.7826581009775,115.34689799380679
Root Mean Squared Error (Non-zero),all,113.83967662744266,151.5450063059742,181.16194942306285,163.334045971423,115.56146138606822
Root Mean Squared Error (Non-zero),ghi_only,115.9048093975423,158.99448522097916,186.44118220874097,172.95040846039694,115.37219135701542
R² Score (All),Precipitable Water,0.9311249345538394,0.8183006597292993,0.7434260077656774,0.8177270143184987,0.9286952050439201
R² Score (All),Pressure,0.9291332608700794,0.8039832715427452,0.7329962571643683,0.8071046573905758,0.927242049845453
R² Score (All),Relative Humidity,0.922970568754093,0.805756656881689,0.733948508735786,0.8046442449944458,0.9255160155764881
R² Score (All),Temperature,0.9298620284922625,0.8038339756908682,0.7382089417421425,0.8166516594566131,0.9281826376500997
R² Score (All),Wind Direction,0.928474891803716,0.8029104980332016,0.7309439010028798,0.80891888429349,0.9293793972785344
R² Score (All),Wind Speed,0.9286393243484002,0.8025754673422243,0.7343292154547754,0.8083670542912459,0.9271393740609254
R² Score (All),all,0.9280250695990849,0.8170637791711283,0.7476149850140348,0.8227688108102404,0.9259160140990441
R² Score (All),ghi_only,0.926378092340295,0.7978453415277865,0.7322626105570941,0.8015693303789259,0.9270656615627718
R² Score (Non-zero),Precipitable Water,0.8429008988362652,0.6448039526613595,0.5359548208950975,0.6734208950899219,0.8378328624186869
R² Score (Non-zero),Pressure,0.8366878120087032,0.6168380665926478,0.5164648013604454,0.6540930220224253,0.8323249252009355
R² Score (Non-zero),Relative Humidity,0.8288451671807923,0.6226327763316928,0.5184965051138453,0.6498654855163836,0.8333495784030356
R² Score (Non-zero),Temperature,0.8392777106329238,0.6159277019543397,0.5256874111815151,0.6716946468104195,0.8348869875997331
R² Score (Non-zero),Wind Direction,0.8355311075195916,0.6147913048597069,0.5121802347503084,0.6576827204487696,0.8373701032892645
R² Score (Non-zero),Wind Speed,0.8355607758913824,0.6139682566315429,0.5186479818849895,0.6571030665461823,0.8320603025811075
R² Score (Non-zero),all,0.8364205159582245,0.6415746327304985,0.5422203090200919,0.6826559321479564,0.8314349329181325
R² Score (Non-zero),ghi_only,0.8304317877668537,0.6054703923931715,0.5151512869639125,0.6441883791114966,0.8319866425943373
