Location,Feature Combination,Metric,Value
Jaisalmer,meteorological_only,Mean Absolute Percentage Error (All),43192836607189.41
Jaisalmer,meteorological_only,Mean Squared Percentage Error (All),1.3150587230747039e+26
Jodhpur,ghi_only,Mean Absolute Error (Non-zero),107.63535785789244
Jodhpur,ghi_only,Mean Squared Error (Non-zero),24812.357959801808
Jodhpur,ghi_only,Root Mean Squared Error (Non-zero),157.51938915511894
Jodhpur,ghi_only,R² Score (Non-zero),0.6127570528952617
Jodhpur,ghi_only,Mean Absolute Percentage Error (Non-zero),115.06465840172118
Jodhpur,ghi_only,Mean Squared Percentage Error (Non-zero),789.1716998221883
Jodhpur,ghi_only,Non-zero Values Percentage,48.99267399267399
Jodhpur,ghi_only,Mean Absolute Error (All),57.64734187015015
Jodhpur,ghi_only,Mean Squared Error (All),12256.709761603632
Jodhpur,ghi_only,Root Mean Squared Error (All),110.71002556951936
Jodhpur,ghi_only,R² Score (All),0.8010607006113755
Jodhpur,ghi_only,Mean Absolute Percentage Error (All),4913901894041.269
Jodhpur,ghi_only,Mean Squared Percentage Error (All),1.0047211646263447e+24
Jodhpur,Temperature,Mean Absolute Error (Non-zero),106.07836179944957
Jodhpur,Temperature,Mean Squared Error (Non-zero),24305.315807640305
Jodhpur,Temperature,Root Mean Squared Error (Non-zero),155.90162220977788
Jodhpur,Temperature,R² Score (Non-zero),0.6206703877595843
Jodhpur,Temperature,Mean Absolute Percentage Error (Non-zero),135.7348747374534
Jodhpur,Temperature,Mean Squared Percentage Error (Non-zero),1344.0949621515645
Jodhpur,Temperature,Non-zero Values Percentage,48.99267399267399
Jodhpur,Temperature,Mean Absolute Error (All),54.35020665519601
Jodhpur,Temperature,Mean Squared Error (All),11956.946152647059
Jodhpur,Temperature,Root Mean Squared Error (All),109.34782189256016
Jodhpur,Temperature,R² Score (All),0.805926179480333
Jodhpur,Temperature,Mean Absolute Percentage Error (All),2379580682088.963
Jodhpur,Temperature,Mean Squared Percentage Error (All),4.912201611998603e+23
Jodhpur,Relative Humidity,Mean Absolute Error (Non-zero),107.67645907094963
Jodhpur,Relative Humidity,Mean Squared Error (Non-zero),24351.801169616425
Jodhpur,Relative Humidity,Root Mean Squared Error (Non-zero),156.05063655626793
Jodhpur,Relative Humidity,R² Score (Non-zero),0.6199448973165547
Jodhpur,Relative Humidity,Mean Absolute Percentage Error (Non-zero),103.46411141529552
Jodhpur,Relative Humidity,Mean Squared Percentage Error (Non-zero),627.6956560042364
