Location,Metric,Feature Combination,Individual,Joint,GNN,Complete
Jodhpur,Mean Absolute Error (Non-zero),Relative Humidity,True,False,True,False
Jodhpur,Mean Absolute Error (Non-zero),Temperature,True,False,True,False
Jodhpur,Mean Absolute Error (Non-zero),Precipitable Water,True,False,True,False
Jodhpur,Mean Absolute Error (Non-zero),Pressure,True,False,True,False
Jodhpur,Root Mean Squared Error (All),ghi_only,True,False,True,False
Jodhpur,Root Mean Squared Error (All),Wind Speed,True,False,True,False
Jodhpur,Root Mean Squared Error (All),meteorological_only,True,False,True,False
Jodhpur,Root Mean Squared Error (All),all,True,False,True,False
Jodhpur,Root Mean Squared Error (All),Wind Direction,True,False,True,False
Jodhpur,Root Mean Squared Error (All),Relative Humidity,True,False,True,False
Jodhpur,Root Mean Squared Error (All),Temperature,True,False,True,False
Jodhpur,Root Mean Squared Error (All),Precipitable Water,True,False,True,False
Jodhpur,Root Mean Squared Error (All),Pressure,True,False,True,False
Jodhpur,Mean Squared Error (Non-zero),ghi_only,True,False,True,False
Jodhpur,Mean Squared Error (Non-zero),Wind Speed,True,False,True,False
Jodhpur,Mean Squared Error (Non-zero),meteorological_only,True,False,True,False
Jodhpur,Mean Squared Error (Non-zero),all,True,False,True,False
Jodhpur,Mean Squared Error (Non-zero),Wind Direction,True,False,True,False
Jodhpur,Mean Squared Error (Non-zero),Relative Humidity,True,False,True,False
Jodhpur,Mean Squared Error (Non-zero),Temperature,True,False,True,False
Jodhpur,Mean Squared Error (Non-zero),Precipitable Water,True,False,True,False
Jodhpur,Mean Squared Error (Non-zero),Pressure,True,False,True,False
Jodhpur,Root Mean Squared Error (Non-zero),ghi_only,True,False,True,False
Jodhpur,Root Mean Squared Error (Non-zero),Wind Speed,True,False,True,False
Jodhpur,Root Mean Squared Error (Non-zero),meteorological_only,True,False,True,False
Jodhpur,Root Mean Squared Error (Non-zero),all,True,False,True,False
Jodhpur,Root Mean Squared Error (Non-zero),Wind Direction,True,False,True,False
Jodhpur,Root Mean Squared Error (Non-zero),Relative Humidity,True,False,True,False
Jodhpur,Root Mean Squared Error (Non-zero),Temperature,True,False,True,False
Jodhpur,Root Mean Squared Error (Non-zero),Precipitable Water,True,False,True,False
Jodhpur,Root Mean Squared Error (Non-zero),Pressure,True,False,True,False
