Location,Feature Combination,Metric,Individual Value,Joint Value,GNN Value,Better Approach
New Delhi,Temperature,Mean Squared Error (Non-zero),34106.21449769563,34575.45413275192,32183.43687335873,gnn
New Delhi,Precipitable Water,Mean Squared Error (Non-zero),33101.69111568315,32697.39329459168,32183.43687335873,gnn
New Delhi,Pressure,Mean Squared Error (Non-zero),34901.540309538206,33843.15353177375,32183.43687335873,gnn
New Delhi,ghi_only,Root Mean Squared Error (Non-zero),186.1249951277493,187.2008741092479,179.3974271648251,gnn
New Delhi,Wind Speed,Root Mean Squared Error (Non-zero),186.4816437608354,186.7865068795312,179.3974271648251,gnn
New Delhi,meteorological_only,Root Mean Squared Error (Non-zero),220.1492409658493,218.3150375435457,179.3974271648251,gnn
New Delhi,all,Root Mean Squared Error (Non-zero),181.6134291037868,179.82180821793867,179.3974271648251,gnn
New Delhi,Wind Direction,Root Mean Squared Error (Non-zero),185.7669533522231,186.91620374778037,179.3974271648251,gnn
New Delhi,Relative Humidity,Root Mean Squared Error (Non-zero),185.59566207735784,184.03173892952,179.3974271648251,gnn
New Delhi,Temperature,Root Mean Squared Error (Non-zero),184.6786790555305,185.94476097150985,179.3974271648251,gnn
New Delhi,Precipitable Water,Root Mean Squared Error (Non-zero),181.9387015334647,180.82420549968325,179.3974271648251,gnn
New Delhi,Pressure,Root Mean Squared Error (Non-zero),186.8195394211703,183.96508780682748,179.3974271648251,gnn
New Delhi,ghi_only,Mean Absolute Error (All),68.33191062867995,66.98046016575725,14.816756099653432,gnn
New Delhi,Wind Speed,Mean Absolute Error (All),73.78476346267094,65.81086155155398,14.816756099653432,gnn
New Delhi,meteorological_only,Mean Absolute Error (All),93.1264540494411,90.6698953456946,14.816756099653432,gnn
New Delhi,all,Mean Absolute Error (All),67.32070159921726,65.68318508452785,14.816756099653432,gnn
New Delhi,Wind Direction,Mean Absolute Error (All),70.9976457336518,69.14389333663634,14.816756099653432,gnn
New Delhi,Relative Humidity,Mean Absolute Error (All),70.80614378705626,66.93633460552057,14.816756099653432,gnn
New Delhi,Temperature,Mean Absolute Error (All),67.95104503373688,66.15489106232631,14.816756099653432,gnn
New Delhi,Precipitable Water,Mean Absolute Error (All),68.03939801920686,68.60371159671217,14.816756099653432,gnn
New Delhi,Pressure,Mean Absolute Error (All),73.5355590719102,66.21949139895953,14.816756099653432,gnn
Shimla,ghi_only,Non-zero Values Percentage,48.946886446886445,49.90867579908676,19.95771281485567,joint
Shimla,Wind Speed,Non-zero Values Percentage,48.946886446886445,49.90867579908676,19.95771281485567,joint
Shimla,meteorological_only,Non-zero Values Percentage,48.946886446886445,49.90867579908676,19.95771281485567,joint
Shimla,all,Non-zero Values Percentage,48.946886446886445,49.90867579908676,19.95771281485567,joint
Shimla,Wind Direction,Non-zero Values Percentage,48.946886446886445,49.90867579908676,19.95771281485567,joint
Shimla,Relative Humidity,Non-zero Values Percentage,48.946886446886445,49.90867579908676,19.95771281485567,joint
Shimla,Temperature,Non-zero Values Percentage,48.946886446886445,49.90867579908676,19.95771281485567,joint
Shimla,Precipitable Water,Non-zero Values Percentage,48.946886446886445,49.90867579908676,19.95771281485567,joint
Shimla,Pressure,Non-zero Values Percentage,48.946886446886445,49.90867579908676,19.95771281485567,joint
Shimla,ghi_only,Mean Squared Percentage Error (Non-zero),819.7346539513594,782.0485259624384,739.2444921603709,gnn
Shimla,Wind Speed,Mean Squared Percentage Error (Non-zero),612.0860896587441,696.6828530284823,739.2444921603709,individual
Shimla,meteorological_only,Mean Squared Percentage Error (Non-zero),1220.390733158644,2341.071110582741,739.2444921603709,gnn
Shimla,all,Mean Squared Percentage Error (Non-zero),865.8425894077942,752.7470063703497,739.2444921603709,gnn
Shimla,Wind Direction,Mean Squared Percentage Error (Non-zero),762.8920024388295,850.6085248594386,739.2444921603709,gnn
Shimla,Relative Humidity,Mean Squared Percentage Error (Non-zero),908.5444153730724,771.7825726588069,739.2444921603709,gnn
Shimla,Temperature,Mean Squared Percentage Error (Non-zero),959.0065495356978,776.1522440852598,739.2444921603709,gnn
Shimla,Precipitable Water,Mean Squared Percentage Error (Non-zero),1481.775102233695,784.861910411836,739.2444921603709,gnn
Shimla,Pressure,Mean Squared Percentage Error (Non-zero),626.0097899284506,770.401085243893,739.2444921603709,individual
Shimla,ghi_only,Mean Squared Percentage Error (All),2.3449852197622246e+23,1.6775321469485784e+23,8.045487461089393e+22,gnn
Shimla,Wind Speed,Mean Squared Percentage Error (All),2.364228723063038e+23,1.2008404056446388e+23,8.045487461089393e+22,gnn
Shimla,meteorological_only,Mean Squared Percentage Error (All),1.9723509880739027e+24,8.853319745592782e+24,8.045487461089393e+22,gnn
Shimla,all,Mean Squared Percentage Error (All),1.063543737856104e+23,1.0516899842318152e+23,8.045487461089393e+22,gnn
Shimla,Wind Direction,Mean Squared Percentage Error (All),1.6716126046734895e+23,2.953664905475908e+23,8.045487461089393e+22,gnn
Shimla,Relative Humidity,Mean Squared Percentage Error (All),1.907035292101638e+23,1.051361220890396e+23,8.045487461089393e+22,gnn
Shimla,Temperature,Mean Squared Percentage Error (All),2.279734681586817e+23,7.874589609074737e+22,8.045487461089393e+22,joint
Shimla,Precipitable Water,Mean Squared Percentage Error (All),3.140823710761309e+23,4.217303437564357e+23,8.045487461089393e+22,gnn
Shimla,Pressure,Mean Squared Percentage Error (All),7.022106574555643e+22,1.2536242098836752e+23,8.045487461089393e+22,individual
Shimla,ghi_only,Mean Absolute Percentage Error (Non-zero),120.25280692752304,123.3873630798499,117.3100391768587,gnn
Shimla,Wind Speed,Mean Absolute Percentage Error (Non-zero),107.20910805583918,114.95854184538832,117.3100391768587,individual
Shimla,meteorological_only,Mean Absolute Percentage Error (Non-zero),128.2880440053848,158.31041424138454,117.3100391768587,gnn
Shimla,all,Mean Absolute Percentage Error (Non-zero),120.9153032865539,116.4130266623652,117.3100391768587,joint
Shimla,Wind Direction,Mean Absolute Percentage Error (Non-zero),113.48177209554991,124.88660270996812,117.3100391768587,individual
Shimla,Relative Humidity,Mean Absolute Percentage Error (Non-zero),125.02266856080352,122.01541553062884,117.3100391768587,gnn
Shimla,Temperature,Mean Absolute Percentage Error (Non-zero),123.76743204467768,117.61066889059497,117.3100391768587,gnn
Shimla,Precipitable Water,Mean Absolute Percentage Error (Non-zero),139.94261792988146,121.02657807152522,117.3100391768587,gnn
Shimla,Pressure,Mean Absolute Percentage Error (Non-zero),107.3300969259251,121.84511143541783,117.3100391768587,individual
Shimla,ghi_only,Mean Absolute Percentage Error (All),1877348621806.725,1650861544009.284,1966841572356.0527,joint
Shimla,Wind Speed,Mean Absolute Percentage Error (All),2321589232558.8936,1546036136959.5964,1966841572356.0527,joint
Shimla,meteorological_only,Mean Absolute Percentage Error (All),4893216285285.402,12854734128550.535,1966841572356.0527,gnn
Shimla,all,Mean Absolute Percentage Error (All),1539391622423.9473,1544148588429.1592,1966841572356.0527,individual
Shimla,Wind Direction,Mean Absolute Percentage Error (All),1101520292656.5464,3421841368073.473,1966841572356.0527,individual
Shimla,Relative Humidity,Mean Absolute Percentage Error (All),2069790500319.5967,884882421171.774,1966841572356.0527,joint
Shimla,Temperature,Mean Absolute Percentage Error (All),2777328645921.384,757134874711.6405,1966841572356.0527,joint
Shimla,Precipitable Water,Mean Absolute Percentage Error (All),1844423017592.403,4225927453504.287,1966841572356.0527,individual
Shimla,Pressure,Mean Absolute Percentage Error (All),1158953522377.5312,1167379218983.6768,1966841572356.0527,individual
Shimla,ghi_only,Mean Squared Error (All),14465.509786535931,15480.104214563966,5724.16589408741,gnn
Shimla,Wind Speed,Mean Squared Error (All),14028.227287226537,15054.962287632055,5724.16589408741,gnn
Shimla,meteorological_only,Mean Squared Error (All),24448.25583659037,26971.27826065977,5724.16589408741,gnn
Shimla,all,Mean Squared Error (All),13131.013458120457,14853.61303594264,5724.16589408741,gnn
Shimla,Wind Direction,Mean Squared Error (All),14196.214490475852,15295.005288636115,5724.16589408741,gnn
Shimla,Relative Humidity,Mean Squared Error (All),14462.802810231591,15502.137418380176,5724.16589408741,gnn
Shimla,Temperature,Mean Squared Error (All),13609.93205022633,15094.08675809527,5724.16589408741,gnn
Shimla,Precipitable Water,Mean Squared Error (All),13559.83427395679,14948.164075397392,5724.16589408741,gnn
Shimla,Pressure,Mean Squared Error (All),14211.314899792622,15547.492858671758,5724.16589408741,gnn
Shimla,ghi_only,R² Score (All),0.8040762038036979,0.8002498164060606,0.85341584434042,gnn
Shimla,Wind Speed,R² Score (All),0.8099988465960485,0.8057357082825658,0.85341584434042,gnn
Shimla,meteorological_only,R² Score (All),0.668867868152039,0.6519714783792387,0.85341584434042,gnn
Shimla,all,R² Score (All),0.8221508925309867,0.8083338529354697,0.85341584434042,gnn
Shimla,Wind Direction,R² Score (All),0.8077235938701722,0.8026382721893456,0.85341584434042,gnn
Shimla,Relative Humidity,R² Score (All),0.8041128676393723,0.7999655071761971,0.85341584434042,gnn
Shimla,Temperature,R² Score (All),0.8156643220596365,0.8052308589579282,0.85341584434042,gnn
Shimla,Precipitable Water,R² Score (All),0.8163428564944795,0.8071137973577872,0.85341584434042,gnn
Shimla,Pressure,R² Score (All),0.8075190708660667,0.7993802554621483,0.85341584434042,gnn
Shimla,ghi_only,R² Score (Non-zero),0.6490210940588836,0.6529602000389971,0.6798308486413368,gnn
Shimla,Wind Speed,R² Score (Non-zero),0.6596528511995032,0.6623945760534129,0.6798308486413368,gnn
Shimla,meteorological_only,R² Score (Non-zero),0.4106383185500627,0.4145593330188721,0.6798308486413368,gnn
Shimla,all,R² Score (Non-zero),0.6811413368874897,0.6668799357831316,0.6798308486413368,individual
Shimla,Wind Direction,R² Score (Non-zero),0.6554020101448085,0.6574007304884331,0.6798308486413368,gnn
Shimla,Relative Humidity,R² Score (Non-zero),0.6489804474831433,0.6523251840575115,0.6798308486413368,gnn
Shimla,Temperature,R² Score (Non-zero),0.6697979585489049,0.6614237406889314,0.6798308486413368,gnn
Shimla,Precipitable Water,R² Score (Non-zero),0.6712247289440303,0.6654684004421065,0.6798308486413368,gnn
Shimla,Pressure,R² Score (Non-zero),0.6547994422611861,0.6513526761352199,0.6798308486413368,gnn
Shimla,ghi_only,Mean Absolute Error (Non-zero),123.98818313609836,128.9387426457597,123.36239695960148,gnn
Shimla,Wind Speed,Mean Absolute Error (Non-zero),122.23106761208464,127.35398875971724,123.36239695960148,individual
Shimla,meteorological_only,Mean Absolute Error (Non-zero),173.10742671851838,173.50682080762712,123.36239695960148,gnn
Shimla,all,Mean Absolute Error (Non-zero),120.12531296946491,129.07100989812028,123.36239695960148,individual
Shimla,Wind Direction,Mean Absolute Error (Non-zero),124.11216875802468,130.0065380728583,123.36239695960148,gnn
Shimla,Relative Humidity,Mean Absolute Error (Non-zero),122.32547085801023,131.1845428751405,123.36239695960148,individual
Shimla,Temperature,Mean Absolute Error (Non-zero),121.24715012856964,129.456721086447,123.36239695960148,individual
Shimla,Precipitable Water,Mean Absolute Error (Non-zero),119.99428715727618,128.31692368048434,123.36239695960148,individual
Shimla,Pressure,Mean Absolute Error (Non-zero),122.88517071765862,131.92554039771227,123.36239695960148,individual
Shimla,ghi_only,Root Mean Squared Error (All),120.27264770734836,124.41906692530678,75.65821762430973,gnn
Shimla,Wind Speed,Root Mean Squared Error (All),118.44081765686413,122.69866457151052,75.65821762430973,gnn
Shimla,meteorological_only,Root Mean Squared Error (All),156.35938039206465,164.22934652692183,75.65821762430973,gnn
Shimla,all,Root Mean Squared Error (All),114.5906342513229,121.87539963398126,75.65821762430973,gnn
Shimla,Wind Direction,Root Mean Squared Error (All),119.14786817428104,123.67297719646,75.65821762430973,gnn
Shimla,Relative Humidity,Root Mean Squared Error (All),120.2613936815618,124.50757976276051,75.65821762430973,gnn
Shimla,Temperature,Root Mean Squared Error (All),116.66161343915286,122.85799427833447,75.65821762430973,gnn
Shimla,Precipitable Water,Root Mean Squared Error (All),116.44670143012549,122.26268472186185,75.65821762430973,gnn
Shimla,Pressure,Root Mean Squared Error (All),119.21121968922482,124.68958600729958,75.65821762430973,gnn
Shimla,ghi_only,Mean Squared Error (Non-zero),29505.57427183804,30983.24819384896,28641.15973435335,gnn
Shimla,Wind Speed,Mean Squared Error (Non-zero),28611.79947613756,30140.95974842689,28641.15973435335,individual
Shimla,meteorological_only,Mean Squared Error (Non-zero),49545.58399562023,52267.35806638615,28641.15973435335,gnn
Shimla,all,Mean Squared Error (Non-zero),26805.337322076983,29740.512843604483,28641.15973435335,individual
Shimla,Wind Direction,Mean Squared Error (Non-zero),28969.152879245263,30586.803587084327,28641.15973435335,gnn
Shimla,Relative Humidity,Mean Squared Error (Non-zero),29508.99128790112,31039.9415695472,28641.15973435335,gnn
Shimla,Temperature,Mean Squared Error (Non-zero),27758.93563353457,30227.63462853136,28641.15973435335,individual
